time_stamp	x	y	v	theta	omega	measure_x	measure_y	predict_x	predict_y	predict_v	predict_theta	predict_omega	true_x	true_y	true_v
1477010450250000	15.0761	20.1043	4.63377	2.72078	0.511446	14.7476	19.9571	15.1181	20.1209	4.61669	2.70851	0.496806	14.84	20.4162	4.82722
1477010450350000	14.5284	20.3749	4.75808	2.77834	0.526419	13.841	21.0031	14.649	20.2827	4.63377	2.77192	0.511446	14.3897	20.5904	4.83249
1477010450450000	14.0348	20.5653	4.80906	2.83893	0.547097	13.8232	20.859	14.08	20.5322	4.75808	2.83098	0.526419	13.9304	20.7408	4.8382
1477010450550000	13.5984	20.6299	4.78707	2.9286	0.620598	13.8263	20.4261	13.5726	20.6962	4.80906	2.89364	0.547097	13.4632	20.8671	4.84431
1477010450650000	13.1357	20.7677	4.79768	2.97717	0.605095	13.2669	21.1579	13.1282	20.7168	4.78707	2.99066	0.620598	12.9895	20.969	4.85081
1477010450750000	12.4922	20.9562	4.95984	3.02643	0.591207	11.5171	21.6724	12.6609	20.8323	4.79768	3.03768	0.605095	12.5106	21.0465	4.85769
1477010450850000	12.0429	21.0001	4.9319	2.03827	0.59817	12.3859	21.1066	11.9987	20.9992	4.95984	2.03835	0.591207	12.0276	21.0996	4.86493
1477010450950000	11.7217	20.8802	4.89306	2.28737	0.60834	11.5265	20.6748	11.9057	21.2542	4.9319	1.05088	0.59817	11.5418	21.1283	4.87252
1477010451050000	11.0953	20.8757	4.92806	2.4557	0.606651	10.5558	20.5567	11.5621	21.0521	4.89306	1.301	0.60834	11.0544	21.1327	4.88042
1477010451150000	10.2628	21.051	5.05091	2.70789	0.600186	9.30535	21.3896	10.883	21.0376	4.92806	1.46916	0.606651	10.5666	21.1131	4.88862
1477010451250000	9.83002	21.002	5.04233	2.65833	0.609055	9.97958	21.2932	9.99784	21.1645	5.05091	1.72071	0.600186	10.0795	21.0697	4.89711
1477010451350000	9.4395	20.9419	5.05885	2.54591	0.614064	9.38223	21.111	9.56673	21.1294	5.04233	1.67204	0.609055	9.59422	21.0028	4.90586
1477010451450000	9.19491	20.7844	5.00791	2.71038	0.632783	9.63392	20.9724	9.19177	21.0995	5.05885	1.56012	0.614064	9.11177	20.9128	4.91484
1477010451550000	9.18847	20.4511	4.963	2.86106	0.635522	9.84634	20.009	8.92837	20.8959	5.00791	1.72646	0.632783	8.63315	20.8003	4.92404
1477010451650000	8.6234	20.3508	4.98823	2.83658	0.638014	8.29647	20.4978	8.90865	20.5228	4.963	1.87741	0.635522	8.1593	20.6657	4.93344
1477010451750000	8.21498	20.1958	4.99138	3.01391	0.668829	8.29081	20.6565	8.34949	20.4274	4.98823	1.85318	0.638014	7.69111	20.5096	4.943
1477010451850000	7.56947	20.0812	5.04214	2.8376	0.662305	7.09214	20.1196	7.9302	20.2231	4.99138	2.03359	0.668829	7.22939	20.3326	4.9527
1477010451950000	7.1116	19.9102	5.05771	3.04035	0.677857	6.89359	20.1536	7.30324	20.1557	5.04214	1.85663	0.662305	6.7749	20.1352	4.96252
1477010452050000	6.63181	19.7672	5.07105	-2.66127	0.719059	6.67637	20.2142	6.82341	19.9295	5.05771	-0.0334596	0.677857	6.32834	19.9183	4.97244
1477010452150000	5.85259	19.6127	5.3118	6.2796	0.4977	5.28178	19.5036	7.34639	20.1814	5.07105	1.59942	0.719059	5.89034	19.6824	4.98243
1477010452250000	5.94047	19.1355	4.89872	-1.48847	0.420734	5.9506	18.9859	5.98332	19.6342	5.3118	0.0461858	0.4977	5.46145	19.4284	4.99246
1477010452350000	5.78737	18.8748	4.96082	-1.94439	0.298127	5.87397	19.301	5.95248	18.9166	4.89872	-1.4464	0.420734	5.04219	19.157	5.00251
1477010452450000	4.78858	18.7877	5.11555	-1.86015	0.153592	3.98679	19.0452	5.6648	18.5544	4.96082	-0.86738	0.298127	4.63297	18.8689	5.01256
1477010452550000	4.68615	18.4297	5.12811	-0.786018	0.152312	4.69245	18.4634	4.72964	18.5821	5.11555	-0.797596	0.153592	4.23416	18.5648	5.02257
1477010452650000	3.8202	18.2619	5.1023	-2.31316	-0.039108	3.42433	18.8357	4.78606	18.3342	5.12811	-0.770787	0.152312	3.84606	18.2457	5.03253
1477010452750000	3.94478	17.8567	5.09917	-0.792526	-0.0444197	4.3011	17.9267	3.59865	18.0213	5.1023	-1.26988	-0.039108	3.46891	17.9122	5.0424
1477010452850000	3.2571	17.5887	5.12089	-2.18243	-0.132025	2.65664	17.888	4.1058	17.691	5.09917	-0.796968	-0.0444197	3.10287	17.565	5.05217
1477010452950000	3.22138	17.1193	5.15908	-0.789302	-0.108737	3.26647	17.0897	3.04064	17.2814	5.12089	-1.14843	-0.132025	2.74805	17.2051	5.0618
1477010453050000	2.90386	16.7954	5.18141	-1.75449	-0.154243	2.55039	16.8884	3.40184	16.9337	5.15908	-0.800176	-0.108737	2.4045	16.833	5.07128
1477010453150000	2.15246	16.4595	5.17611	-2.44239	-0.0915773	1.57735	16.0489	2.82936	16.4013	5.18141	-1.76992	-0.154243	2.07221	16.4497	5.08058
1477010453250000	1.90346	16.101	5.21569	-1.17196	-0.0347063	1.74363	16.2687	1.81967	16.181	5.17611	-1.40435	-0.0915773	1.75112	16.0557	5.08968
1477010453350000	1.83062	15.6298	5.27081	-1.77456	-0.034135	1.6097	15.5526	2.01798	15.8228	5.21569	-1.17543	-0.0347063	1.44111	15.6517	5.09855
1477010453450000	1.19863	15.293	5.35227	-2.41055	-0.0707434	0.828993	15.528	1.75957	15.2792	5.27081	-1.77798	-0.034135	1.14201	15.2386	5.10717
1477010453550000	1.02682	14.9227	5.36924	-1.14068	-0.015142	1.03147	15.2134	0.862318	14.9926	5.35227	-1.37043	-0.0707434	0.853604	14.8169	5.11551
1477010453650000	0.943217	14.4348	5.43691	-1.78214	-0.00252039	0.722177	14.2445	1.15417	14.6401	5.36924	-1.1422	-0.015142	0.575628	14.3872	5.12357
1477010453750000	0.375572	13.9712	5.60644	-2.25773	-0.00365345	-0.0328025	13.9604	0.867184	14.0678	5.43691	-1.78239	-0.00252039	0.307779	13.9502	5.13132
1477010453850000	0.244771	13.4884	5.68164	-1.96921	0.13006	0.0524417	13.6377	0.0659777	13.5932	5.60644	-2.25809	-0.00365345	0.0497099	13.5065	5.13873
1477010453950000	-0.167153	13.0482	5.55535	-2.1133	-0.0385773	-0.275042	13.1456	0.028841	12.9713	5.68164	-1.95621	0.13006	-0.198962	13.0566	5.14579
1477010454050000	-0.5559	12.5737	5.63653	-2.17974	-0.147387	-0.684792	12.3563	-0.454198	12.58	5.55535	-2.11716	-0.0385773	-0.438654	12.6011	5.15249
1477010454150000	-0.88753	12.1477	5.60905	-2.16462	-0.028835	-0.972122	12.5207	-0.881252	12.1187	5.63653	-2.19447	-0.147387	-0.669817	12.1404	5.1588
1477010454250000	-1.20344	11.6712	5.61705	-2.13552	0.073639	-1.26757	11.6495	-1.20195	11.6867	5.60905	-2.16751	-0.028835	-0.892931	11.6751	5.16471
1477010454350000	-1.3466	11.1981	5.47798	-2.12585	-0.0155151	-0.891441	10.959	-1.50237	11.1985	5.61705	-2.12816	0.073639	-1.1085	11.2057	5.1702
1477010454450000	-1.4919	10.7301	5.36471	-2.0253	0.18888	-1.29894	10.9012	-1.63576	10.7353	5.47798	-2.1274	-0.0155151	-1.31706	10.7324	5.17526
1477010454550000	-1.67779	10.2095	5.38043	-1.96061	0.281197	-1.59293	10.0212	-1.72324	10.248	5.36471	-2.00641	0.18888	-1.51917	10.2559	5.17988
1477010454650000	-1.79468	9.76084	5.25377	-1.92968	0.258344	-1.59701	9.96554	-1.87575	9.7112	5.38043	-1.93249	0.281197	-1.71539	9.77637	5.18405
1477010454750000	-2.04557	9.25588	5.34494	-1.91144	0.270101	-2.27191	9.37316	-1.97339	9.26883	5.25377	-1.90385	0.258344	-1.90631	9.29431	5.18775
1477010454850000	-2.14759	8.82044	5.20636	-1.88702	0.242024	-1.96565	9.13274	-2.21784	8.75195	5.34494	-1.88443	0.270101	-2.09256	8.81003	5.19097
1477010454950000	-2.42799	8.29194	5.3235	-1.90408	0.199083	-2.65863	8.19477	-2.30403	8.32566	5.20636	-1.86282	0.242024	-2.27474	8.32388	5.19372
1477010455050000	-2.47041	7.89688	5.13251	-1.85699	0.215375	-2.273	8.52315	-2.59756	7.78902	5.3235	-1.88417	0.199083	-2.45348	7.83617	5.19597
1477010455150000	-2.79857	7.39403	5.21923	-1.92396	0.0960202	-3.08256	7.38874	-2.61046	7.40447	5.13251	-1.83546	0.215375	-2.62944	7.34723	5.19773
1477010455250000	-2.87766	6.94926	5.12498	-1.87319	0.149708	-2.79412	7.20818	-2.97705	6.9049	5.21923	-1.91436	0.0960202	-2.80326	6.85734	5.19899
1477010455350000	-2.95023	6.50554	4.9701	-1.8651	0.0996453	-2.57673	6.36755	-3.02696	6.46004	5.12498	-1.85822	0.149708	-2.97559	6.36681	5.19975
1477010455450000	-3.18795	6.00439	5.07962	-1.87865	0.0870942	-3.50172	6.10796	-3.09236	6.03022	4.9701	-1.85513	0.0996453	-3.14709	5.87592	5.2
1477010455550000	-3.37196	5.49356	5.09822	-1.89988	0.026404	-3.19736	5.19093	-3.34005	5.52064	5.07962	-1.86994	0.0870942	-3.31843	5.38497	5.19975
1477010455650000	-3.49869	5.00787	5.08182	-1.8755	0.0617632	-3.4281	4.94644	-3.53631	5.01177	5.09822	-1.89724	0.026404	-3.49026	4.89422	5.19899
1477010455750000	-3.6964	4.48363	5.13218	-1.90665	-0.0134602	-3.50501	4.17643	-3.64985	4.52339	5.08182	-1.86933	0.0617632	-3.66325	4.40398	5.19773
1477010455850000	-3.88114	3.99929	5.15404	-1.90338	0.00561968	-4.06447	4.10977	-3.866	3.99991	5.13218	-1.908	-0.0134602	-3.83806	3.91452	5.19597
1477010455950000	-4.07913	3.5788	5.0923	-1.9353	-0.0587531	-4.23729	3.88878	-4.04934	3.51269	5.15404	-1.90282	0.00561968	-4.01533	3.42616	5.19372
1477010456050000	-4.30294	3.05041	5.19387	-1.95976	-0.0943863	-4.27467	2.88187	-4.26206	3.10409	5.0923	-1.94117	-0.0587531	-4.19571	2.93919	5.19097
1477010456150000	-4.48573	2.53537	5.2244	-1.95319	-0.0633158	-4.38481	2.39989	-4.50209	2.57123	5.19387	-1.9692	-0.0943863	-4.37985	2.45393	5.18775
